Distance_Centroid,Rad_max,Rad_out,sel_insideEddy,Datenum
0.0,0.0,0.0,0,738512.9675467383
0.0,0.0,0.0,0,738515.9676158493
137.434592872448,39.7885360741469,81.9916364773247,0,738518.9661924286
0.0,0.0,0.0,0,738521.9800583539
0.0,0.0,0.0,0,738524.9648380782
0.0,0.0,0.0,0,738527.9675813004
0.0,0.0,0.0,0,738530.9675812956
0.0,0.0,0.0,0,738533.9689817702
0.0,0.0,0.0,0,738536.9703590734
0.0,0.0,0.0,0,738539.9661924136
0.0,0.0,0.0,0,738542.9675813023
0.0,0.0,0.0,0,738545.9544793365
0.0,0.0,0.0,0,738548.913773332
0.0,0.0,0.0,0,738551.9544677604
0.0,0.0,0.0,0,738554.9614122151
0.0,0.0,0.0,0,738557.9179054558
0.0,0.0,0.0,0,738560.9559027777
0.0,0.0,0.0,0,738563.9558566555
