Datenum,Lon,Lat,Rad_max,Rad_out,Vel_Azimuth
738082,14.8135650937813,-32.0231110566107,42.5389541684151,68.5526364554516,-0.515944669428189
738083,14.7797639895123,-32.0236879202131,41.7291059562889,69.0992863881875,-0.50941128174196
738084,14.7200350755242,-32.0164785145366,38.8859214624767,67.6508403066998,-0.501974768689076
738085,14.6881374702923,-32.0100041113276,39.9669121172785,66.6311902744072,-0.500754365501328
738086,14.6605553909333,-32.0066383014622,38.2580293320522,66.1134236200489,-0.495206496965922
738087,14.6329466489185,-31.9689237352563,51.7336861939785,66.118872565093,-0.474866056867413
738088,14.5969148488671,-31.9786064387737,46.6814138736329,65.5485656965027,-0.472713785689782
738089,14.5648982027946,-31.9815598250687,46.7217011559918,67.6740611033402,-0.461754130749457
738090,14.5366726095658,-31.9996187387148,40.7241598475791,68.0533767229471,-0.460251443834418
738091,14.4991158532847,-31.9923437610166,46.828769203593,67.90813195765,-0.454851522525914
738092,14.4447914124153,-32.0005895233787,45.24561083027,69.5006021074969,-0.433541274488354
738093,14.4191155027552,-31.9994215382416,47.6267952431266,71.7559779395314,-0.414894345446806
738094,14.4031354602872,-31.9924604390286,49.3096494390284,71.1925506220615,-0.400150686352088
738095,14.3536468194964,-32.020278548961,40.8905590114489,70.3466363700921,-0.473171607443531
738096,14.3084799181384,-32.016332313357,47.4228652104348,71.4005879320645,-0.477938477173141
738097,14.2704235296611,-32.0318374000602,43.392897449503,69.1933599414332,-0.464947163408604
738098,14.2319654588633,-32.040752565147,45.1846152925438,68.8881692718038,-0.482526064587438
738099,14.1991991653777,-32.0537553956558,45.0557905398051,73.634493036389,-0.465924952856465
738100,14.1525778761672,-32.0668868269644,36.6153645824361,71.7230478316208,-0.462102641278504
738101,14.1327192254534,-32.0687886715387,36.8464706615453,69.3145393544321,-0.473433306960123
738102,14.1212524345722,-32.0513007073288,38.2706270920971,68.42541654951,-0.482595688409468
738103,14.1240230219523,-32.0373448174068,51.8103453561712,69.692725889697,-0.476757699393528
738104,14.0563659912012,-32.0422603539274,42.8389652115484,70.2884637299921,-0.503977116903532
738105,14.0578655379337,-32.0221490262649,52.4296963974067,70.483356861844,-0.463485905127554
738106,14.0301723469712,-32.0160896735334,54.0156130003376,70.8258948891314,-0.47082542276791
738107,13.9383047851667,-32.01428044469,46.190443660613,71.3168789710003,-0.482126026844013
738108,13.9119592788789,-32.0069213004485,47.3428515218722,70.8588940575483,-0.474664031670251
738109,13.8079398711022,-31.971903947065,47.1691649919952,65.6757154100787,-0.545342680687586
738110,13.7632814949457,-31.9559684568261,49.870033327328,69.2351078188399,-0.536594346540993
738111,13.7310534298461,-31.9420623815331,51.7763452259976,70.2635167518598,-0.526065124844103
738112,13.6682335221693,-31.9277426260696,54.7044882958847,72.0584944045869,-0.550432194006377
738113,13.6295074870717,-31.916540431911,54.3613420189266,70.2017990380437,-0.555386455613196
738114,13.5752256756612,-31.8964444158987,56.1989008618127,72.6840231491535,-0.541866247036305
738115,13.5053800385406,-31.9019714378263,46.040629605139,73.7171058094955,-0.504981018042027
738116,13.4656934054193,-31.8946874709448,46.5197397113845,75.2504063474614,-0.506878795218987
738117,13.4068653826492,-31.8835657744603,45.57994694597,78.0831541300034,-0.49605708904943
738118,13.3373452230854,-31.8693192368814,47.7522147998289,81.1970336994923,-0.485796030955378
738119,13.2790968852328,-31.8582554516836,50.7578854666572,87.9293331606896,-0.490249334555956
738120,13.2144618471661,-31.8595934388316,49.0244122484089,91.4640654269986,-0.501631245897696
738121,13.159688080368,-31.8572196177848,45.9950039583213,91.3974284571758,-0.496264390184323
738122,13.1221758453644,-31.8612590969433,41.976903509193,80.6638122151912,-0.475653278598666
738123,13.0703143148885,-31.851975216242,46.6656821957291,80.7333780032734,-0.477286458699987
738124,13.020768563845,-31.8512303245417,47.3227573847147,81.8360196767011,-0.475351938519723
738125,12.980990267527,-31.8486468015227,46.7632774854721,85.2565048191395,-0.471581579020238
738126,12.9147219154856,-31.8377962155362,46.6764151640457,87.6566652554951,-0.479254964800493
738127,12.8607654583313,-31.8325399197797,41.4105148421815,91.8425015705671,-0.474682461130268
738128,12.813811226462,-31.8289478143554,47.5607736992557,91.7533261680731,-0.490601754425798
738129,12.7641040474489,-31.8377017893038,46.8909097759763,94.5582959536341,-0.493144256888633
738130,12.7211029374731,-31.8316941425409,47.6692419033022,95.3484546494,-0.48329641037906
738131,12.6808383114226,-31.824071932058,47.6332978488219,90.6189056538321,-0.48888266735378
738132,12.6459969055111,-31.8298306077669,44.2132083116123,97.7128264748966,-0.480138292658062
738133,12.6069748769666,-31.8331201718271,41.4328885893881,96.4510170096821,-0.472258750032467
738134,12.5716660705011,-31.8309245579397,45.6969571965131,95.5344272651509,-0.472705836430745
