lon_cont1,lon_cont2,lon_cont3,lon_cont4,lon_cont5,lon_cont6,lon_cont7,lon_cont8,lon_cont9,lon_cont10,lon_cont11,lon_cont12,lon_cont13,lon_cont14,lon_cont15,lon_cont16,lon_cont17,lon_cont18,lon_cont19,lon_cont20,lon_cont21,lon_cont22,lon_cont23,lon_cont24,lon_cont25,lon_cont26,lon_cont27,lon_cont28,lon_cont29,lon_cont30,lon_cont31,lon_cont32,lon_cont33,lon_cont34,lon_cont35,lon_cont36,lon_cont37,lon_cont38,lon_cont39,lon_cont40,lon_cont41,lon_cont42,lon_cont43,lon_cont44,lon_cont45,lon_cont46,lon_cont47,lon_cont48,lon_cont49,lon_cont50,lon_cont51,lon_cont52,lon_cont53,lon_cont54,lon_cont55,lon_cont56,lon_cont57,lon_cont58,lon_cont59,lon_cont60,lon_cont61,lon_cont62,lon_cont63,lon_cont64,lon_cont65,lon_cont66,lon_cont67,lon_cont68,lon_cont69,lon_cont70,lon_cont71,lon_cont72,lon_cont73,lon_cont74,lon_cont75,lon_cont76,lon_cont77,lon_cont78,lon_cont79,lon_cont80,lon_cont81,lon_cont82,lon_cont83,lon_cont84,lon_cont85,lon_cont86,lon_cont87,lon_cont88,lon_cont89,lon_cont90,lon_cont91,lon_cont92,lon_cont93,lon_cont94,lon_cont95,lon_cont96,lon_cont97,lon_cont98
NaN,10.375,10.625,10.625,10.1591595225277,10.375,10.625,10.0516447687976,10.375,10.2943632919144,9.875,9.875,10.125,9.625,9.625,9.875,9.85217404034795,9.625,9.625,9.125,8.875,9.4978325198427,8.875,9.0845467526178,8.875,8.875,9.125,8.125,9.59957776433863,7.9117966453026,7.96581073357602,7.87754230166369,7.96724822616755,7.625,7.625,7.60451066948484,7.58728575871556,7.375,7.375,7.625,8.125,8.125,8.375,8.53115435622543,8.49978535855427,8.37784829198887,8.375,8.125,7.875,7.875,7.875,7.875,7.625,8.07441550328106,7.625,7.375,7.875,7.875,7.03212750182973,8.06168748844182,8.11897075306213,8.01227340316278,7.875,7.875,7.875,7.62150699521542,8.09048391800027,7.17851350460869,8.11491466170435,8.125,7.125,8.125,8.125,8.125,8.125,7.125,7.125,6.93131632930213,6.73013132031087,7.25294870251473,7.14630515844783,7.125,7.07957750368253,7.00859346879428,7.375,7.875,7.625,7.125,7.625,7.625,7.63842709514188,7.63707172993266,7.625,7.625,7.125,6.84408773239893,6.875,6.875
NaN,NaN,10.4050378227546,10.375,10.2763130088896,NaN,NaN,10.0849236069798,10.290208999189,10.375,10.125,9.625,10.128574103955,9.875,9.40414750377811,9.625,9.625,9.375,9.375,8.875,9.125,9.60132175440126,9.125,9.125,9.00867011851642,9.03849664932098,8.97416399480613,8.375,9.5478164101759,7.98625579505217,8.125,8.05910923707406,8.125,7.66572473619492,7.6418982404027,7.625,7.625,7.48749170892891,7.43328498369441,7.79493886557281,7.875,7.875,8.125,8.40944944769173,8.375,8.375,8.34824358007674,7.875,7.625,7.625,7.625,7.625,7.375,7.875,7.375,7.19653822021412,7.625,7.625,7.125,7.89350399731517,8.03184463875089,7.875,7.76291909927503,7.73515062258214,7.67204626516874,7.375,7.9190406632722,7.32123002564755,7.87943247174272,7.88012407301421,7.375,8.02045629557885,8.08460375885929,7.875,7.875,7.375,7.375,7.125,6.79706668488764,7.375,7.375,7.12749153261531,7.125,7.125,7.625,7.99643808955808,7.875,7.34417273758067,7.50258646132424,7.5490176291592,7.625,7.625,7.57702016873562,7.45541066997197,6.875,6.83215506642619,6.85999102002284,6.81421687647674
NaN,NaN,10.375,10.3458889846196,10.375,NaN,NaN,10.125,10.125,10.5922268475621,10.226293284576,9.61456924231579,10.375,10.0901546351129,9.375,9.375,9.375,9.125,9.125,8.65145775255631,9.375,9.375,9.375,9.24571762710879,9.125,9.125,8.875,8.625,9.375,8.125,8.19696496197972,8.125,8.375,7.85731587295113,7.8571658692326,7.84648127463437,7.82877642589987,7.625,7.625,7.875,7.84467528306032,7.84334013374248,7.875,8.375,8.32851568723134,8.125,8.125,7.625,7.375,7.37536563253143,7.41013133652558,7.45913753150995,7.23601126002708,7.625,7.19777224562926,7.125,7.375,7.375,7.13989347178146,7.875,7.875,7.78663071846997,7.625,7.625,7.625,7.125,7.875,7.375,7.875,7.875,7.625,7.875,7.875,7.625,7.625,7.625,7.625,7.25583240444915,6.875,7.625,7.625,7.375,7.375,7.375,7.875,8.10410297571923,8.0328173541489,7.375,7.375,7.375,7.375,7.375,7.375,7.375,6.76868782031447,6.875,6.875,6.875
NaN,NaN,10.2256508701242,10.2039409007021,NaN,NaN,NaN,NaN,9.875,10.625,10.375,9.375,10.3991556845871,10.125,9.24475463433382,9.12868223687054,9.125,8.875,8.875,8.64498442463618,9.625,NaN,9.625,9.375,9.375,9.375,8.625,8.75828905975379,9.125,8.27351618027083,8.375,8.375,8.43983744090354,7.875,7.875,7.875,7.875,7.79376879860974,7.754140085848,8.125,7.625,7.625,7.76252313997587,8.125,8.125,7.875,7.875,7.4269666304023,7.36300780649357,7.375,7.375,7.375,7.125,7.375,7.125,7.02642244193376,7.18706052100981,7.16857670361051,7.375,7.625,7.84014317054295,7.625,7.375,7.375,7.375,7.04364257504569,7.6259285687571,NaN,7.625,7.625,7.875,7.625,7.625,7.375,7.375,7.875,7.875,7.375,7.03853653371856,7.78350508339864,7.85230770308946,7.625,7.625,7.625,8.05794421254001,7.88707196875061,8.11832344508894,7.43905948857351,7.2891774522747,7.23726689777187,7.125,7.125,7.125,7.125,6.79071674075425,NaN,NaN,NaN
NaN,NaN,10.125,10.125,NaN,NaN,NaN,NaN,9.76182248115678,10.7410061614073,10.521118796008,9.35154076014051,10.6218928790182,10.3595563005151,9.375,9.125,8.91632608583174,8.79902613411802,8.65592207804487,8.875,9.64500434237453,NaN,9.62966198761272,9.58096608394919,9.45619649542825,9.58142427182145,8.375,8.875,8.952527407491,8.375,8.625,8.61032297198953,8.625,8.125,8.125,8.125,8.125,7.875,7.875,8.375,7.50049159508411,7.48061366746477,7.625,7.875,7.875,7.625,7.625,7.375,7.125,7.12915333215236,7.13523220107369,7.15511935408503,7.08248669146789,7.21683447876676,7.03590242229608,6.97107732040835,7.125,7.125,7.625,7.375,7.625,7.375,7.125,7.125,7.125,7.06038989564867,7.625,NaN,7.375,7.375,7.93864649238963,7.375,7.375,7.125,7.125,8.125,8.125,7.625,7.125,7.875,7.875,7.875,7.875,7.875,8.125,7.875,7.875,7.625,7.125,7.125,7.09852791132629,7.05206801893229,7.02347640141209,7.05023498934327,6.875,NaN,NaN,NaN
NaN,NaN,10.1140070628793,10.1084807314042,NaN,NaN,NaN,NaN,9.82022111723753,10.6939378741781,10.625,9.18443013253875,10.5989792725849,10.375,NaN,9.04085723357097,8.87756070533266,8.78536484170684,8.6415090910281,NaN,9.78451799672261,NaN,9.66171849541977,9.46087240298636,9.56577025064761,9.53730059108299,8.2411113498814,9.125,8.875,8.625,8.73261875795617,8.625,8.73120999582691,8.2300773073523,8.20704931007181,8.29271083715595,8.32527571281135,8.125,8.125,8.48070055316206,7.375,7.375,7.37596856636206,7.72281150969491,7.76905212704246,7.375,7.375,7.17464145877111,7.12123557942193,7.125,7.125,7.125,7.09047855200813,7.125,6.99750346968071,7.07884687570933,7.01799508544336,7.03942058784488,7.875,7.125,7.375,7.125,7.0671330304229,7.0304857793072,7.03056158972885,7.12383768736138,7.375,NaN,7.125,7.125,8.125,7.125,7.125,6.95730954053278,6.96215950608803,8.17688882586987,8.20225648241821,7.66049785340388,7.375,8.125,8.125,7.94561229372576,7.95046443682012,8.05158035910057,8.17123327809034,NaN,NaN,7.875,6.875,6.875,6.875,6.875,6.875,6.875,NaN,NaN,NaN,NaN
NaN,NaN,10.125,10.125,NaN,NaN,NaN,NaN,9.875,10.625,10.7139414551878,9.22329296022619,10.375,10.5666893057335,NaN,9.125,9.125,8.875,8.875,NaN,9.625,NaN,9.625,9.375,9.375,9.375,8.125,9.18596718852026,8.625,8.83064906710486,8.875,8.66048387360179,8.85853566107393,8.375,8.375,8.375,8.375,8.34173710692409,8.375,8.54028623218868,7.30309782482881,7.27740188971233,7.375,7.625,7.625,7.34210709875359,7.33376455782991,7.125,7.0453094690669,7.03624641714571,7.02873010234037,7.0258864482235,7.125,7.05737569241032,7.125,7.125,6.95513579823115,7.0154461872818,7.92058093695684,7.10894025354028,7.125,7.04251926397761,7.02917397927191,7.02028897699808,7.0419419393887,7.125,7.125,NaN,7.06177902036564,7.02331239980953,8.25047614369134,6.95151029795008,6.95816366799872,6.95896002188555,6.93411551640799,8.29410595927399,8.28793652037144,7.875,7.625,8.14047994378133,8.15777062284494,8.125,8.125,8.125,8.125,NaN,NaN,8.04487223545663,6.86747924484258,6.83249459997332,6.77627975140329,6.74190838425687,6.71633737691165,6.71325374787966,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6955498906015,9.375,NaN,10.5952226982641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0375692340721,9.375,8.375,8.875,9.125,8.875,8.84674750920242,8.625,8.59080256247756,8.47526284841262,8.4055578346723,8.375,8.55361854648091,8.58071454117677,7.31018172188528,7.2795611561437,7.1829131754331,7.375,7.375,7.125,7.125,7.10410056872334,7.10574016907041,7.07812221255223,7.0546104306466,7.03087453288438,NaN,7.04217166433597,NaN,NaN,7.0508655757049,7.1135067915529,8.07927420525265,7.02014550065809,7.07551067826431,6.99281576528311,7.06033019002597,7.05961047832533,7.09686043930749,NaN,7.01451808693623,NaN,7.11203074669239,7.07517999244272,8.26643174038358,6.99744227697688,6.98491466294997,7.0998713504792,7.05336776407557,8.1849280823313,8.15593376542989,8.125,7.79979015549143,8.16480141342372,8.14734292076112,8.15769435981767,8.12887755426016,8.17817892275511,NaN,NaN,NaN,8.11008763054469,6.84584353537292,6.81795728931766,6.76836684332448,6.7406856663872,6.72584491059996,6.7370939897235,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.625,9.47302136266496,NaN,10.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.125,9.45905036421842,8.3354996271238,9.125,9.28531852851276,8.91237426345556,8.87044943315956,8.72555115595055,8.625,8.625,8.58196504479682,8.39011465861369,8.60463402233675,8.62083771878105,7.375,7.375,7.16983218069103,7.33062390394001,7.32255062202426,7.12087942246459,7.09764982669091,7.125,7.125,7.125,7.125,7.125,NaN,7.125,NaN,NaN,7.125,7.125,8.125,7.00934355882897,6.99958719017923,7.0175951624711,7.125,7.125,7.125,NaN,7.03248697640974,NaN,7.125,7.125,8.125,7.125,7.125,7.125,7.125,8.125,8.125,8.18954015083706,7.875,8.125,8.125,8.125,8.125,8.125,NaN,NaN,NaN,7.875,6.875,6.875,6.875,6.875,6.875,6.875,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.59425837921117,8.125,9.375,9.28108529358113,8.88527935604906,8.875,8.79493735910251,8.68867179024085,8.64183664897726,8.60963544612462,8.56691494582691,8.625,8.6018402282154,NaN,NaN,7.35660240445392,7.125,7.125,7.12327469051571,7.09792518377503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.13805543656988,7.08386044745368,7.01845189476183,7.11398840519854,NaN,NaN,NaN,NaN,7.09542996417505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.25081128142386,8.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
