pprojid	profileid	filename	date_time	latitude	longitude	psampleid	depth	watervolume	class01	class02	class03	class04	class05	class06	class07	class08	class09	class10	class11	class12	class13	class14	class15	class16	class18	class19	class20	class21	class22	class23	class24	class25	class26	class27	class28	class29	class30	class31	class32	class33	class34	class35	class36	class37	class38	class39	class40	class41	class42	class43	class44	class45	biovol01	biovol02	biovol03	biovol04	biovol05	biovol06	biovol07	biovol08	biovol09	biovol10	biovol11	biovol12	biovol13	biovol14	biovol15	biovol16	biovol17	biovol18	biovol19	biovol20	biovol21	biovol22	biovol23	biovol24	biovol25	biovol26	biovol27	biovol28	biovol29	biovol30	biovol31	biovol32	biovol33	biovol34	biovol35	biovol36	biovol37	biovol38	biovol39	biovol40	biovol41	biovol42	biovol43	biovol44	biovol45
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	632.5	27.0																	0	0	8160	216	142	90	29	12	6	2	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	652.5	26.4																	0	0	7454	211	144	90	31	11	5	3	2	0	0	1	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	672.5	25.2																	0	0	7913	215	143	78	28	6	3	3	1	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	692.5	24.6																	0	0	7404	200	125	78	22	3	7	2	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	712.5	28.2																	0	0	8111	207	155	98	36	11	5	1	2	1	1	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	732.5	28.2																	0	0	8269	196	123	102	43	15	3	2	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	752.5	27.0																	0	0	7629	162	129	92	41	19	5	2	1	1	1	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	772.5	25.8																	0	0	7280	174	100	83	34	19	4	3	1	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	792.5	24.6																	0	0	6791	172	102	89	16	12	6	2	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	812.5	24.6																	0	0	6848	159	125	82	27	16	3	1	0	1	0	0	0	1	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	832.5	24.6																	0	0	7154	171	135	74	30	17	3	1	0	1	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	852.5	27.0																	0	0	7688	157	114	87	29	12	5	2	1	1	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	872.5	28.2																	0	0	8117	180	103	91	26	13	7	2	3	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	892.5	27.6																	0	0	7886	156	120	99	35	13	4	1	2	0	0	1	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	912.5	25.8																	0	0	7209	173	112	86	26	10	5	3	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	932.5	25.8																	0	0	7984	193	144	82	33	11	8	3	1	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	952.5	25.2																	0	0	7913	226	192	127	37	9	6	1	2	0	0	1	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	972.5	24.6																	0	0	7650	184	174	102	33	8	7	1	0	1	0	1	0	0	0																																																								
356	ensuse001b-036-02-ASC	ensuse001b-036-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-11 21:25:06	-35.063	7.696	31973	992.5	41.4																	0	0	12637	351	254	148	47	22	8	3	3	2	0	2	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	323.9	12.0																	0	0	3910	140	83	40	8	3	1	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	377.0	12.0																	0	0	3898	166	81	35	8	4	1	2	2	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	391.9	12.0																	0	0	3907	153	94	44	13	1	1	0	1	5	1	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	397.8	12.0																	0	0	3710	123	73	43	9	2	0	0	0	2	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	398.4	12.0																	0	0	3821	168	87	36	8	4	1	1	0	3	4	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	364.3	12.0																	0	0	3963	136	91	45	14	5	1	3	1	1	1	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	359.0	12.0																	0	0	3867	152	90	43	6	5	0	0	4	1	3	1	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	354.9	12.0																	0	0	3859	159	91	31	11	4	2	1	1	1	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	360.7	12.0																	0	0	3984	152	72	30	8	2	2	1	0	3	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	357.9	12.0																	0	0	3997	160	83	59	15	8	1	2	2	4	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	353.5	12.0																	0	0	3898	145	104	50	12	2	2	0	1	3	2	1	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	362.4	12.0																	0	0	4000	113	94	48	14	3	3	3	1	4	5	1	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	363.5	12.0																	0	0	4065	152	107	38	8	2	8	2	1	0	1	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	358.6	12.0																	0	0	3690	159	89	46	19	6	0	0	2	7	5	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	357.4	12.0																	0	0	3977	160	89	29	3	1	2	3	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	355.4	12.0																	0	0	3900	140	71	52	10	11	3	3	1	0	4	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	355.4	12.0																	0	0	3833	152	76	40	6	2	1	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	354.8	12.0																	0	0	3927	148	90	40	7	2	2	2	2	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	354.0	12.0																	0	0	3834	146	97	31	9	6	0	1	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	355.9	12.0																	0	0	3830	128	76	26	6	4	0	0	0	1	1	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	354.3	12.0																	0	0	4020	157	90	52	15	4	3	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	361.0	12.0																	0	0	3979	157	81	29	11	3	1	0	1	1	1	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	360.7	12.0																	0	0	3973	152	82	31	8	1	2	0	1	0	3	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	361.3	12.0																	0	0	3912	157	70	41	7	3	1	2	0	2	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	362.1	12.0																	0	0	3964	173	84	37	10	2	1	2	0	0	0	0	0	0	0																																																								
