RAWfilename	Latitude	Longitude	Date_Time	Pressure [dbar]	Vol [L] (sampled for this depth bin)	MiP_abun	MaP_abun	Mip_POC_cont_mgC_m3	Map_POC_cont_mgC_m3	Flux_mgC_m2	Respi_nmolO2_l_h	Temperature [degrees Celsius]	Practical salinity [psu]	Doxy [micromol/kg]	Chlorophyll-a [mg/m3]	bbp700 [m-1]
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	328.0	12.0	31.0	0.083333	0.49551	0.001332	1.9237	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	329.6	12.0	26.916	0.0	0.43023	0.0	1.8792	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	328.2	12.0	30.667	0.0	0.49018	0.0	1.8347	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	329.2	12.0	30.25	0.33333	0.48351	0.005328	2.0015	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	326.0	12.0	29.75	0.0	0.47553	0.0	1.9459	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	330.5	12.0	29.666	0.0	0.47418	0.0	2.046	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	332.3	12.0	31.333	0.0	0.50082	0.0	2.235	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	331.5	12.0	29.25	0.0	0.46753	0.0	1.768	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	330.5	12.0	28.167	0.0	0.45021	0.0	1.6902	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	327.5	12.0	27.75	0.0	0.44355	0.0	1.6568	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	333.6	12.0	27.25	0.083333	0.43556	0.001332	1.8903	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	332.0	12.0	31.5	0.0	0.50349	0.0	2.1572	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	324.3	12.0	31.583	0.0	0.50482	0.0	2.1349	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	327.2	12.0	27.167	0.0	0.43423	0.0	1.8903	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	333.2	12.0	26.084	0.0	0.41692	0.0	1.6902	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	332.5	12.0	33.334	0.0	0.5328	0.0	2.3463	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	332.4	12.0	31.666	0.0	0.50615	0.0	2.2239	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	336.6	12.0	29.084	0.25	0.46487	0.003996	2.046	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	330.8	12.0	33.334	0.0	0.5328	0.0	2.2573	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	329.7	12.0	30.167	0.083333	0.48219	0.001332	2.1127	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	333.6	12.0	28.0	0.0	0.44755	0.0	1.9348	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	337.1	12.0	30.917	0.0	0.49417	0.0	2.1683	0.0					
ensuse001b-035-02-PAR_000101LP_TIME_LPM.txt	-35.441	7.419	2021-09-04T06:00:59	331.3	12.0	27.583	0.5	0.44088	0.007992	2.0237	0.0					
